,Ef,rho,of,gtf,ea_mean,spec_heat_mean,heat_fus_mean,vdw_mean,atom_rad_mean,av_ionrad_mean,av_rsp_mean,x_mean,Ehull,Eg
1342,-2.8310000000000004,6.106,0.688888889,0.857300515,1.00476576,0.6592,0.054941152,1.935,1.07,1.1936,0.74075,2.594,0.0,0.235
1343,-3.2060000000000004,6.494,0.71031746,0.846559395,0.97046576,0.6706,0.065611952,1.9080000000000001,1.055,1.199,0.728,2.55,0.032,0.743
1344,-3.022,6.481,0.675793651,0.863999761,0.91896576,0.6707,0.058670752,1.9069999999999998,1.055,1.1903,0.7115,2.5669999999999997,0.053,0.344
1345,-3.0239999999999996,7.154,0.6956349209999999,0.853889771,0.93546576,0.6416,0.069755952,1.9409999999999998,1.07,1.1953,0.7428,2.5669999999999997,0.079,0.0
1346,-2.847,6.367999999999999,0.675396825,0.864204403,1.02546576,0.6517,0.062193152,1.939,1.065,1.1902,0.73905,2.597,0.0,0.0
1347,-3.13,6.441,0.742460317,0.830943063,1.02506576,0.6486,0.055977152,1.899,1.08,1.2071,0.69705,2.582,0.0,3.637
1348,-3.6210000000000004,7.1160000000000005,0.7384920629999999,0.8328397609999999,0.95266576,0.6419,0.072863952,1.95,1.08,1.2061,0.7483,2.5269999999999997,0.0,3.82
1349,-3.6,6.857,0.8063492059999999,0.801553381,0.97336576,0.6395,0.050071952,1.879,1.11,1.2232,0.7285,2.515,0.094,0.981
1350,-2.32,6.949,0.640079365,0.8828141759999999,1.02626576,0.6477,0.053449312,1.844,1.045,1.1813,0.6955,2.6519999999999997,0.05,0.446
1351,-2.491,6.874,0.655555556,0.8745615990000001,0.93126576,0.6484,0.055521312,1.851,1.05,1.1852,0.6970000000000001,2.622,0.109,0.0
1352,-2.592,6.066,0.7023809520000001,0.850506058,1.02086576,0.6554,0.041742512,1.8090000000000002,1.06,1.197,0.65125,2.637,0.0,1.756
1353,-2.494,5.377000000000001,0.76984127,0.8180876659999999,0.99946576,0.6729999999999999,0.041265952,1.9480000000000002,1.09,1.214,0.7155,2.552,0.158,0.0
1354,-2.76,5.172999999999999,0.838095238,0.787709627,0.99986576,0.6757,0.045720752,1.953,1.095,1.2312,0.7365,2.53,0.235,0.0
1355,-3.284,5.096,0.79047619,0.808659351,1.02259576,0.6574,0.052247552,1.964,1.1,1.2192,0.7525,2.524,0.159,2.9810000000000003
1356,-2.9610000000000003,5.475,0.794444444,0.8068710729999999,1.03786576,0.6516,0.044891952,1.9140000000000001,1.1,1.2202,0.70275,2.569,0.048,3.386
1357,-3.412,6.059,0.79047619,0.808659351,0.96546576,0.6449,0.061778752,1.965,1.1,1.2192,0.754,2.5140000000000002,0.136,3.508
1358,-2.7489999999999997,6.125,0.63968254,0.8830278290000001,0.96307066,0.9821,0.055251952,1.84,1.04,1.1812,0.675,2.542,0.011000000000000001,1.683
1359,-2.9019999999999997,7.292999999999999,0.8079365079999999,0.800849647,1.01486576,0.639,0.052040352000000005,1.88,1.095,1.2236,0.70645,2.583,0.0,1.9169999999999998
1360,-2.8369999999999997,7.731,0.7007936509999999,0.851299811,1.07664576,0.6399,0.067683952,1.902,1.07,1.1966,0.738,2.6010000000000004,0.0,0.0
1361,-3.486,6.192,0.722619048,0.840513935,1.00959576,0.6533,0.068512752,1.929,1.08,1.2021,0.7446,2.541,0.02,2.892
1362,-2.9130000000000003,6.65,0.65952381,0.872470347,1.02526576,0.6506,0.067373152,1.919,1.065,1.1862,0.73685,2.6010000000000004,0.0,0.11800000000000001
1363,-3.613,7.24,0.722619048,0.840513935,0.95246576,0.6408,0.078043952,1.93,1.08,1.2021,0.7461,2.531,0.0,3.485
1364,-2.4859999999999998,6.392,0.64484127,0.880258381,1.00118576,0.7265,0.053905152000000005,1.8119999999999998,1.045,1.1825,0.6934,2.605,0.0,0.0
1365,-2.907,5.085,0.648809524,0.8781398290000001,0.91960576,0.7385,0.064265152,1.828,1.055,1.1835,0.698,2.6010000000000004,0.0,2.3609999999999998
1366,-2.635,6.4079999999999995,0.6083333329999999,0.900239573,0.95480576,0.7264,0.059085152,1.824,1.04,1.1733,0.6945,2.605,0.0,0.0
1367,-2.8810000000000002,6.3020000000000005,0.623809524,0.891659577,0.85980576,0.7271,0.061157152,1.831,1.045,1.1772,0.696,2.575,0.0,0.0
1368,-2.7289999999999996,5.44,0.854365079,0.780798414,1.04188576,0.7335,0.045099152,1.7890000000000001,1.05,1.2353,0.6455,2.595,0.0,2.343
1369,-2.98,6.151,0.645634921,0.879833854,0.92630576,0.7266,0.063229152,1.8319999999999999,1.045,1.1827,0.69875,2.6210000000000004,0.0,3.264
1370,-2.693,5.239,0.56468254,0.925354043,0.95916176,0.6844,0.068927152,1.9,1.045,1.1623,0.7075,2.625,0.0,1.204
1371,-3.0060000000000002,5.34,0.5825396829999999,0.914912485,0.97369176,0.6858,0.059395952,1.911,1.045,1.1668,0.7095,2.569,0.0,1.202
1372,-2.642,6.369,0.53968254,0.940379121,0.89936176,0.6729999999999999,0.065819152,1.903,1.035,1.156,0.7055,2.5989999999999998,0.008,0.0
1373,-2.5980000000000003,5.726,0.586507937,0.91262406,0.98896176,0.68,0.052040352000000005,1.861,1.045,1.1678,0.65975,2.614,0.0,0.9570000000000001
1374,-2.523,5.563,0.770238095,0.81790428,1.08144176,0.6794,0.049761152,1.861,1.04,1.2141,0.655,2.6189999999999998,0.0,1.486
1375,-2.77,6.2620000000000005,0.561507937,0.927235322,0.96586176,0.6725,0.067891152,1.9040000000000001,1.035,1.1615,0.70825,2.645,0.0,2.199
1376,-3.115,5.3660000000000005,0.6984126979999999,0.852493222,1.04219576,0.6827,0.066958752,1.911,1.045,1.196,0.7205,2.58,0.0,2.8360000000000003
1377,-3.069,5.646,0.6269841270000001,0.889919754,1.01859576,0.675,0.051511992,1.8530000000000002,1.035,1.178,0.68325,2.595,0.009000000000000001,3.2430000000000003
1378,-2.9930000000000003,5.709,0.6984126979999999,0.852493222,1.00559576,0.6612,0.049098112,1.859,1.06,1.196,0.701,2.592,0.0,3.37
1379,-2.795,6.449,0.917063492,0.755262056,1.17256576,0.6426,0.036603952,1.912,1.105,1.2511,0.71265,2.57,0.0,1.704
1380,-3.2889999999999997,5.28,0.8317460320000001,0.790439989,1.16729576,0.6569,0.053076352,1.9609999999999999,1.09,1.2296,0.7508,2.528,0.132,2.885
1381,-2.048,6.867000000000001,0.5972222220000001,0.90650211,1.15824576,0.669,0.062711152,1.8019999999999998,1.03,1.1705,0.7009,2.665,0.002,0.098
1382,-2.475,5.568,0.601190476,0.904255512,1.07666576,0.6809999999999999,0.073071152,1.818,1.04,1.1715,0.7055,2.661,0.011000000000000001,2.088
1383,-2.052,6.824,0.5607142860000001,0.927706837,1.11186576,0.6689,0.067891152,1.814,1.025,1.1613,0.7020000000000001,2.665,0.12300000000000001,0.0
1384,-2.114,5.731,0.555952381,0.9305460320000001,1.10686576,0.6797,0.062400352,1.819,1.025,1.1601,0.69975,2.665,0.0,0.0
1385,-2.287,5.9110000000000005,0.8067460320000001,0.801377332,1.19894576,0.6759999999999999,0.053905152000000005,1.7790000000000001,1.035,1.2233,0.653,2.655,0.0,1.9569999999999999
1386,-2.5610000000000004,6.651,0.5980158729999999,0.906051897,1.08336576,0.6691,0.072035152,1.8219999999999998,1.03,1.1707,0.70625,2.681,0.0,3.278
1387,-3.261,5.178,0.746031746,0.829243407,1.07199576,0.6572,0.052869152,1.9580000000000002,1.09,1.208,0.7513,2.5269999999999997,0.14800000000000002,2.889
1388,-3.389,6.119,0.746031746,0.829243407,1.01486576,0.6447,0.062400352,1.959,1.09,1.208,0.7528,2.517,0.124,3.3689999999999998
1389,-2.305,6.7989999999999995,0.5761904760000001,0.9185979329999999,1.01686576,0.6696,0.069963152,1.821,1.03,1.1652,0.7035,2.635,0.191,0.0
1390,-2.81,6.438,0.654761905,0.874981053,1.06144576,0.6812,0.061467952,1.85,1.055,1.185,0.7294,2.61,0.0,0.0
1391,-3.51,5.022,0.6765873020000001,0.863590767,0.99439576,0.6946,0.062296752000000004,1.8769999999999998,1.065,1.1905,0.736,2.55,0.0,2.94
1392,-2.904,6.341,0.618253968,0.8947206940000001,1.01506576,0.6811,0.066647952,1.8619999999999999,1.05,1.1758,0.7305,2.61,0.0,0.0
1393,-3.077,6.268,0.633730159,0.886245079,0.92006576,0.6818,0.068719952,1.869,1.055,1.1797,0.732,2.58,0.011000000000000001,0.0
1394,-3.6319999999999997,6.149,0.6765873020000001,0.863590767,0.93726576,0.6821,0.071827952,1.8780000000000001,1.065,1.1905,0.7375,2.54,0.0,3.447
1395,-3.4360000000000004,5.71,0.8130952379999999,0.79857102,0.99219576,0.6575,0.054526752000000005,1.953,1.09,1.2249,0.7495,2.531,0.005,3.148
1396,-3.068,6.0729999999999995,0.8170634920000001,0.7968270340000001,1.00746576,0.6517,0.047171152,1.903,1.09,1.2259,0.69975,2.576,0.0,3.6069999999999998
1397,-3.556,6.716,0.8130952379999999,0.79857102,0.93506576,0.645,0.064057952,1.954,1.09,1.2249,0.7509999999999999,2.521,0.0,3.7489999999999997
1398,-3.509,6.407,0.880952381,0.769761812,0.95576576,0.6426,0.041265952,1.883,1.12,1.242,0.7312,2.509,0.142,0.652
1399,-2.926,6.647,0.63015873,0.888186707,0.98466576,0.6675,0.072035152,1.9069999999999998,1.04,1.1788,0.701,2.592,0.003,1.2770000000000001
1400,-3.234,6.557,0.6984126979999999,0.852493222,0.98506576,0.6702,0.076489952,1.912,1.045,1.196,0.722,2.57,0.0,2.7539999999999996
1401,-3.11,6.547999999999999,0.663888889,0.870181491,0.93356576,0.6703,0.069548752,1.911,1.045,1.1873,0.7055,2.5869999999999997,0.0,2.109
1402,-3.187,6.8420000000000005,0.6269841270000001,0.889919754,0.96146576,0.6625,0.061043192,1.854,1.035,1.178,0.68475,2.585,0.0,4.042
1403,-3.069,6.68,0.6984126979999999,0.852493222,0.94846576,0.6487,0.058629312,1.86,1.06,1.196,0.7025,2.582,0.037000000000000005,4.018
1404,-3.281,6.484,0.633730159,0.886245079,0.97096576,0.6743,0.078872752,1.909,1.04,1.1797,0.7215,2.5669999999999997,0.0,1.2919999999999998
1405,-2.7680000000000002,7.263999999999999,0.6932539679999999,0.85509046,1.15874576,0.6427,0.056080752000000005,1.926,1.07,1.1947,0.7414,2.5839999999999996,0.0,0.0
1406,-2.9960000000000004,6.973,0.672222222,0.865845038,1.01736576,0.6433,0.063332752,1.945,1.07,1.1894,0.7440000000000001,2.5540000000000003,0.094,0.0
1407,-2.858,6.215,0.6519841270000001,0.876452316,1.10736576,0.6534,0.055769952000000005,1.943,1.065,1.1843,0.74025,2.5839999999999996,0.0,0.18600000000000003
1408,-3.0389999999999997,5.256,0.595238095,0.9076296,0.89226176,0.7113,0.051004352,1.901,1.04,1.17,0.7005,2.563,0.0,1.4880000000000002
1409,-3.09,5.369,0.645634921,0.879833854,0.96896576,0.6885,0.074625152,1.901,1.045,1.1827,0.7255,2.6239999999999997,0.027999999999999997,0.0
1410,-3.464,6.04,0.759920635,0.822699209,1.07859576,0.6539,0.063125552,1.946,1.08,1.2115,0.7457,2.539,0.035,2.858
1411,-3.052,7.317,0.7170634920000001,0.8432334159999999,1.00426576,0.6411,0.069548752,1.9380000000000002,1.07,1.2007,0.7417,2.569,0.065,0.0
1412,-2.8689999999999998,6.497999999999999,0.696825397,0.85329069,1.09426576,0.6512,0.061985952000000004,1.936,1.065,1.1956,0.73795,2.5989999999999998,0.0,0.136
1413,-3.6439999999999997,7.27,0.759920635,0.822699209,1.02146576,0.6414,0.072656752,1.9469999999999998,1.08,1.2115,0.7472,2.529,0.0,3.875
1414,-2.99,6.67,0.698015873,0.8526924490000001,1.00536576,0.6651,0.049243152000000005,1.8359999999999999,1.07,1.1959,0.6812,2.58,0.192,1.429
1415,-3.284,6.591,0.766269841,0.8197418540000001,1.00576576,0.6678,0.053697952,1.841,1.075,1.2131,0.7022,2.5580000000000003,0.027999999999999997,1.0
1416,-3.0780000000000003,6.497999999999999,0.731746032,0.836084095,0.95426576,0.6679,0.046756752,1.84,1.075,1.2044,0.6857,2.575,0.168,1.131
1417,-3.1239999999999997,6.62,0.766269841,0.8197418540000001,0.96916576,0.6463,0.035837312,1.7890000000000001,1.09,1.2131,0.6827,2.57,0.111,1.088
1418,-3.12,6.377999999999999,0.650396825,0.877295261,0.93726176,0.6709,0.046135152,1.841,1.075,1.1839,0.6912,2.5469999999999997,0.179,1.137
